id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,other
1481,世纪江尚,江汉,520,28003,4室2厅1厨3卫,中楼层 (共57层),185.7,平层,156.46,塔楼,东 西,钢混结构,精装,三梯五户,有,null,2023/3/16,商品房,2023/3/14,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20230318HAruf
1482,汉街壹号公馆,武昌,700,36325,3室2厅1厨3卫,高楼层 (共47层),192.71,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯两户,有,null,2023/4/21,商品房,2019/4/12,普通住宅,满两年,共有,无抵押,已上传房本照片,20210327aRX5f
1483,鹏程花苑,江岸,255,26953,2室2厅1厨1卫,中楼层 (共7层),94.61,平层,暂无数据,板楼,西南,未知结构,其他,一梯两户,无,null,2023/4/12,商品房,2020/1/12,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230228yZlLv
1484,安静社区红艳村,江岸,89,18020,2室1厅1厨1卫,中楼层 (共7层),49.39,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,无,null,2023/4/26,商品房,2015/12/12,普通住宅,满五年,非共有,无抵押,已上传房本照片,202006042nHTZ
1485,光明上海府邸,汉阳,148,15283,3室2厅1厨1卫,高楼层 (共41层),96.84,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,null,2022/3/25,商品房,2020/1/17,普通住宅,满两年,非共有,有抵押 60万元 业主自还,已上传房本照片,20230417KlFFh
1486,清江山水,东湖高新,198,22285,2室2厅1厨1卫,中楼层 (共32层),88.85,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有,null,2023/3/27,商品房,2018/11/15,普通住宅,满两年,非共有,无抵押,已上传房本照片,202005239Fi1J
1487,诺展星座,洪山,130,16614,2室2厅1厨1卫,中楼层 (共33层),78.25,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯七户,有,null,2022/11/4,商品房,2020/10/13,普通住宅,满两年,共有,无抵押,已上传房本照片,20220915lKBGe
1488,信泰公寓,江汉,243,20618,3室2厅1厨2卫,低楼层 (共22层),117.86,平层,暂无数据,塔楼,东南,钢混结构,其他,两梯九户,有,null,2023/4/20,商品房,2005/7/7,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230421aDqkQ
1489,知音首府三期,蔡甸,60,6911,3室1厅1厨1卫,中楼层 (共29层),86.82,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,null,2023/3/10,商品房,2019/6/14,普通住宅,满两年,非共有,有抵押 35万元 金融公司垫资,已上传房本照片,20200108jIxjQ
1490,保利新武昌K4地块,洪山,178,18452,3室2厅1厨1卫,高楼层 (共44层),96.47,平层,73.92,板楼,南,钢混结构,精装,两梯四户,有,null,2023/2/8,商品房,2020/7/14,普通住宅,满两年,共有,有抵押 70万元 工行 客户偿还,已上传房本照片,20220917TjN18
1491,保利新武昌K4地块,洪山,209,20718,3室2厅1厨2卫,低楼层 (共44层),100.88,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,null,2023/3/17,商品房,2021/8/5,普通住宅,未满两年,非共有,有抵押 50万元,已上传房本照片,202304277tZT4
1492,南车花园,江夏,96,10424,2室1厅1厨1卫,中楼层 (共28层),92.1,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,null,2021/10/30,商品房,2017/3/17,普通住宅,满五年,共有,无抵押,已上传房本照片,20210801B80oB
1493,华润置地中央公园二期,汉阳,320,20254,3室2厅1厨2卫,中楼层 (共26层),158,平层,118.28,板塔结合,东南 南 北,钢混结构,毛坯,两梯两户,有,null,2022/7/9,商品房,2013/7/15,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220810k904l
1494,新长江香榭澜溪二期,汉南,52,5264,3室2厅1厨1卫,高楼层 (共34层),98.8,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,有,null,2023/4/17,商品房,2018/12/21,普通住宅,满两年,共有,有抵押 20万元 客户偿还,已上传房本照片,20201209xnWnS
1495,美好名流汇,硚口,53,14909,1室0厅1厨1卫,低楼层 (共33层),35.55,平层,暂无数据,板楼,南,钢混结构,简装,三梯十四户,有,null,2023/3/8,商品房,2023/3/16,普通住宅,未满两年,非共有,有抵押 30万元 银行 客户偿还,已上传房本照片,202011184AL5K
1496,天瑞国际酒店公寓,江汉,52,11372,1室1厅1厨1卫,中楼层 (共30层),45.73,平层,暂无数据,塔楼,北,钢混结构,精装,三梯三十二户,有,null,2022/12/27,商品房,2021/1/29,普通住宅,满两年,共有,无抵押,已上传房本照片,20230129I76Qh
1497,海尔国际广场,硚口,160,17249,3室1厅1厨1卫,中楼层 (共47层),92.76,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,暂无数据,null,2023/4/28,商品房,2021/4/27,普通住宅,满两年,共有,无抵押,已上传房本照片,20201116ZFjFM
1498,二七花园,江岸,88,11902,2室1厅1厨1卫,中楼层 (共7层),73.94,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,null,2022/7/14,商品房,2009/11/26,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220714xsVQx
1499,凯乐花园,武昌,289,23156,3室2厅1厨2卫,中楼层 (共27层),124.81,平层,暂无数据,板塔结合,东南,钢混结构,简装,两梯四户,有,null,2023/2/5,商品房,2010/3/29,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230206LJhrP
1500,合汇景苑,汉阳,108,13047,2室1厅1厨1卫,低楼层 (共11层),82.78,平层,暂无数据,塔楼,东南,钢混结构,简装,一梯五户,有,null,2023/4/24,经济适用房,2010/8/12,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220315NGs5p
1501,保利城,洪山,159,17844,2室2厅1厨1卫,高楼层 (共34层),89.11,平层,70.25,板塔结合,南,钢混结构,简装,两梯五户,有,null,2023/3/10,商品房,2023/1/14,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20230311w9AUU
1502,百花居,武昌,132,12801,2室2厅1厨1卫,中楼层 (共8层),103.12,平层,91.48,塔楼,南 北,混合结构,简装,一梯两户,无,null,2022/3/27,商品房,2011/4/25,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220327BLvDA
1503,湘龙鑫城,洪山,80,9196,2室2厅1厨2卫,低楼层 (共24层),87,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,null,2022/4/15,商品房,2020/5/26,普通住宅,满两年,共有,无抵押,已上传房本照片,20210830xwRVE
1504,国信馨园,汉阳,99,14523,2室1厅1厨1卫,中楼层 (共11层),68.17,平层,暂无数据,板楼,东南,钢混结构,精装,一梯三户,有,null,2022/7/22,商品房,2016/7/15,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220722DcQ44
1505,复地悦城二期东区,洪山,127,16364,2室1厅1厨1卫,中楼层 (共34层),77.61,平层,暂无数据,板楼,南,钢混结构,精装,两梯六户,有,null,2023/2/23,商品房,2021/2/18,普通住宅,满两年,共有,有抵押 73万元,已上传房本照片,20230216T95J3
1506,名仕阁,硚口,140,17164,2室2厅1厨1卫,中楼层 (共7层),81.57,平层,暂无数据,塔楼,南,钢混结构,简装,一梯两户,无,null,2023/4/27,商品房,2002/10/9,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230429b9JPG
1507,普天居贤院,沌口,128,7810,5室2厅1厨2卫,高楼层 (共6层),163.91,复式,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,null,2022/7/15,商品房,2010/11/26,普通住宅,满五年,非共有,无抵押,已上传房本照片,20201202AX0rX
1508,人信奥林花园圣火苑,沌口,166,13338,3室1厅1厨2卫,高楼层 (共6层),124.46,平层,110.89,板楼,南 北,钢混结构,其他,一梯两户,无,null,2023/3/28,商品房,2009/5/13,普通住宅,满五年,共有,无抵押,已上传房本照片,20220214jnpwp
1509,融科天域,东湖高新,300,27832,3室2厅1厨1卫,中楼层 (共32层),107.79,平层,83.86,板塔结合,南 北,钢混结构,简装,两梯四户,有,null,2023/3/18,商品房,2018/8/15,普通住宅,满两年,非共有,无抵押,已上传房本照片,202303213s7NS
1510,顶琇国际公馆,江汉,215,19800,3室2厅1厨2卫,高楼层 (共42层),108.59,平层,暂无数据,板塔结合,南 北,钢混结构,其他,三梯六户,有,null,2023/2/25,商品房,2020/9/22,普通住宅,满两年,共有,有抵押 130万元 客户偿还,已上传房本照片,20230227hMeKY
1511,三眼桥北路,江汉,79,15117,2室1厅1厨1卫,低楼层 (共8层),52.26,平层,暂无数据,塔楼,南,混合结构,精装,一梯四户,无,null,2023/1/30,商品房,2019/2/8,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230131V4pyB
1512,万科高尔夫城市花园,东西湖,112,12833,2室2厅1厨1卫,中楼层 (共31层),87.28,平层,暂无数据,板塔结合,西南,钢混结构,精装,三梯八户,有,null,2022/4/27,商品房,2015/7/8,普通住宅,满五年,非共有,有抵押 40万元,已上传房本照片,20200816VOukW
1513,保利上城西区,洪山,185,17670,3室2厅1厨2卫,中楼层 (共40层),104.7,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,null,2022/9/29,商品房,2021/5/27,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20221011uy4TP
1514,汇东佳韵,洪山,126,13418,3室1厅1厨1卫,低楼层 (共11层),93.91,平层,78,板楼,南,钢混结构,精装,一梯四户,有,null,2021/6/8,经济适用房,2019/6/2,普通住宅,满两年,非共有,有抵押 73万元 客户偿还,已上传房本照片,2020010733VTA
1515,联发九都国际,武昌,410,29591,3室2厅1厨2卫,高楼层 (共45层),138.56,平层,暂无数据,板楼,南 北,钢混结构,精装,三梯四户,有,null,2023/4/19,商品房,2016/10/20,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230419SNw8F
1516,当代国际花园四期,东湖高新,305,26203,3室2厅1厨2卫,中楼层 (共6层),116.4,平层,102.48,板楼,南 北,钢混结构,精装,一梯两户,无,null,2023/4/26,商品房,2011/4/6,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230426pGMdL
1517,百瑞景中央生活区三期,武昌,200,22984,2室2厅1厨1卫,低楼层 (共34层),87.02,平层,暂无数据,板楼,南,钢混结构,精装,两梯六户,有,null,2020/7/26,商品房,2018/1/30,普通住宅,满五年,非共有,有抵押 85万元 中国银行 业主自还,已上传房本照片,20200815U1aIO
1518,浅月湾映翠湾,汉南,154,7201,4室2厅1厨4卫,低楼层 (共3层),214.56,暂无数据,214.56,暂无数据,东南,钢混结构,毛坯,一梯一户,暂无数据,null,2023/4/12,商品房,2017/5/2,普通住宅,满五年,非共有,无抵押,已上传房本照片,20221113aNbmn
1519,融侨锦城,硚口,175,15412,3室2厅1厨2卫,中楼层 (共11层),113.55,平层,暂无数据,塔楼,南 北,钢混结构,简装,一梯两户,有,null,2023/3/20,商品房,2017/10/17,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230320wmltT
1520,欧林湾,武昌,245,27235,3室2厅1厨1卫,低楼层 (共29层),89.96,平层,暂无数据,板塔结合,南 东南,钢混结构,简装,两梯四户,有,null,2023/4/17,商品房,2012/8/17,普通住宅,满五年,非共有,有抵押 30万元 建行 业主自还,已上传房本照片,20201214wmIof
1521,三金鑫城国际润雅苑,江汉,128,16529,2室2厅1厨1卫,中楼层 (共26层),77.44,平层,57.86,板楼,南,钢混结构,精装,两梯三户,有,null,2022/10/24,商品房,2022/8/22,普通住宅,未满两年,非共有,无抵押,已上传房本照片,2022102434qds
1522,华生汉口城市广场北区,硚口,90,11413,2室2厅1厨1卫,中楼层 (共9层),78.86,平层,暂无数据,板楼,南,钢混结构,精装,一梯八户,有,null,2023/4/1,拆迁还建房,2018/5/18,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230413dyogD
1523,团结名居桂园,武昌,205,14132,3室2厅1厨2卫,高楼层 (共33层),145.07,平层,暂无数据,板楼,东南,钢混结构,其他,两梯六户,有,null,2021/5/11,拆迁还建房,2021/1/5,普通住宅,满两年,共有,无抵押,已上传房本照片,20210512BHSrq
1524,天顺园九村,硚口,100,10794,3室2厅1厨1卫,高楼层 (共6层),92.65,平层,暂无数据,板楼,东南,钢混结构,其他,一梯两户,无,null,2023/4/5,经济适用房,2011/12/10,普通住宅,满五年,非共有,无抵押,已上传房本照片,20211031xwMjF
1525,百隆商住楼,新洲,26,3173,2室2厅1厨1卫,高楼层 (共6层),81.96,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,null,2020/5/14,商品房,2014/5/15,普通住宅,满五年,非共有,无抵押,已上传房本照片,20200102csIuQ
1526,东风阳光城四期,沌口,115,13055,3室1厅1厨1卫,低楼层 (共32层),88.09,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,null,2023/4/5,商品房,2018/5/10,普通住宅,满两年,共有,无抵押,已上传房本照片,20230406d7Jj8
1527,海赋江城天韵A区,江岸,200,22302,2室2厅1厨1卫,高楼层 (共32层),89.68,平层,67.82,板塔结合,南,钢混结构,精装,两梯四户,有,null,2023/3/19,商品房,2018/6/4,普通住宅,满两年,共有,有抵押 150万元 中信银行 业主自还,已上传房本照片,20230319RE4qD
1528,纽宾凯汉city国际社区蜜城,汉阳,89,15631,1室1厅1厨1卫,高楼层 (共43层),56.94,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯八户,有,null,2022/8/1,商品房,2018/3/5,普通住宅,满五年,共有,无抵押,已上传房本照片,20220805n39G4
1529,读书院,武昌,226,22746,3室1厅1厨1卫,中楼层 (共8层),99.36,平层,暂无数据,板楼,南 北,混合结构,简装,一梯四户,无,null,2023/4/7,商品房,2013/10/12,普通住宅,满五年,非共有,有抵押 32万元 业主自还,已上传房本照片,20200105QSvZX
1530,梅苑小区二期,武昌,210,22674,3室1厅1厨1卫,低楼层 (共7层),92.62,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,无,null,2021/3/8,商品房,2017/3/10,普通住宅,满五年,共有,有抵押 87万元 工商银行 业主自还,已上传房本照片,20210310n7Fpq
1531,付家坡二路12号,武昌,121,15938,2室2厅1厨1卫,中楼层 (共7层),75.92,平层,66.5,板楼,南 北,混合结构,简装,一梯两户,暂无数据,null,2023/4/26,商品房,2005/6/29,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230426Kigte
1532,电力社区(江汉),江汉,110,14722,2室1厅1厨1卫,高楼层 (共7层),74.72,平层,暂无数据,塔楼,南 北,混合结构,其他,一梯四户,无,null,2023/4/12,房改房,2020/4/11,普通住宅,满两年,共有,无抵押,已上传房本照片,20220718x3U3B
1533,人德里,江汉,108,18484,2室1厅1厨1卫,中楼层 (共7层),58.43,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,无,null,2023/4/19,商品房,2016/6/30,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230410jElvk
1534,武南一村,武昌,105,16007,2室2厅1厨1卫,中楼层 (共5层),65.6,平层,65.6,暂无数据,南 北,砖混结构,其他,一梯四户,无,null,2023/4/23,商品房,2016/5/9,普通住宅,满五年,共有,暂无数据,已上传房本照片,20210916irlBy
1535,碧桂园生态城东境,东湖高新,188,13155,4室2厅1厨2卫,低楼层 (共32层),142.92,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,暂无数据,null,2023/3/10,商品房,2023/3/1,普通住宅,未满两年,共有,有抵押 74万元 中国银行 客户偿还,已上传房本照片,202303104dWZ3
1536,同心路52号院,蔡甸,45,4378,3室2厅1厨1卫,高楼层 (共6层),102.81,平层,89.96,板楼,南,钢混结构,简装,一梯两户,无,null,2021/3/5,商品房,2016/2/5,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210305wVHfP
1537,阳光100大湖第,江夏,113,9775,3室2厅1厨1卫,高楼层 (共18层),115.61,平层,92.33,板楼,南 北,钢混结构,精装,一梯四户,暂无数据,null,2023/4/19,商品房,2015/10/29,普通住宅,满五年,非共有,无抵押,已上传房本照片,20221009HxEgq
1538,顺民宜盛花园,东湖高新,175,17453,3室2厅1厨1卫,高楼层 (共28层),100.27,平层,77.99,板楼,南 北,钢混结构,简装,两梯四户,有,null,2023/2/25,商品房,2018/6/7,普通住宅,满两年,非共有,有抵押 35万元 工商银行 客户偿还,已上传房本照片,20230225KPjcA
1539,桥机嘉园,汉阳,98,11843,2室2厅1厨1卫,高楼层 (共18层),82.75,平层,暂无数据,塔楼,西 西北,钢混结构,简装,两梯八户,有,null,2022/10/2,拆迁还建房,2020/7/24,普通住宅,满两年,非共有,无抵押,已上传房本照片,20221002Ifx06
1540,蓝光林肯公园,硚口,150,11579,3室1厅1厨2卫,低楼层 (共40层),129.55,平层,暂无数据,板楼,南,钢混结构,其他,两梯四户,有,null,2022/11/15,商品房,2020/6/28,普通住宅,满两年,共有,有抵押 65万元 中国银行 客户偿还,已上传房本照片,20210815QIWB1
1541,佳馨花园一期,武昌,160,20073,2室1厅1厨1卫,低楼层 (共20层),79.71,平层,64.06,板塔结合,东南,钢混结构,其他,一梯七户,有,null,2023/4/26,经济适用房,2011/11/21,普通住宅,满五年,非共有,无抵押,已上传房本照片,20200106DUqhe
1542,丰竹园,硚口,245,13234,4室3厅1厨2卫,中楼层 (共10层),185.14,平层,155.4,板楼,南 北,钢混结构,简装,两梯两户,有,null,2021/6/30,商品房,2014/12/11,普通住宅,满五年,非共有,无抵押,已上传房本照片,20200111Y53lg
1543,华生汉口城市广场北区,硚口,82,10540,2室1厅1厨1卫,高楼层 (共16层),77.8,平层,暂无数据,板楼,南,钢混结构,精装,两梯五户,有,null,2023/4/5,经济适用房,2020/12/30,普通住宅,满两年,非共有,无抵押,已上传房本照片,202304066gdHU
1544,越秀星汇云锦,硚口,260,26830,2室1厅1厨1卫,低楼层 (共53层),96.91,平层,暂无数据,板楼,南,钢混结构,精装,三梯四户,有,null,2023/4/21,商品房,2018/8/17,普通住宅,满两年,共有,有抵押,已上传房本照片,202105129MCAw
1545,绿地城,汉南,37,5075,1室1厅1厨1卫,中楼层 (共6层),72.92,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯五户,暂无数据,null,2023/4/10,商品房,2018/2/6,普通住宅,满五年,非共有,无抵押,已上传房本照片,20200605L90gn
1546,银泰御华园三期,江岸,165,24716,2室1厅1厨1卫,中楼层 (共32层),66.76,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯五户,有,null,2023/4/20,商品房,2018/5/24,普通住宅,满两年,共有,有抵押 37万元 交通银行 业主自还,已上传房本照片,20230420bEuXF
1547,葛洲坝国际广场(江汉),江汉,478,26748,5室2厅1厨2卫,低楼层 (共27层),178.71,平层,142.25,板楼,南 北,钢混结构,精装,两梯两户,有,null,2020/12/13,商品房,2019/6/19,普通住宅,满两年,非共有,有抵押 134万元 业主自还,已上传房本照片,20201213eKqyi
1548,长江明珠,江岸,99,10823,2室1厅1厨1卫,中楼层 (共27层),91.48,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,null,2023/4/10,商品房,2012/5/11,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230410BMWfb
1549,阳光新港中央花园城,新洲,53,6589,2室2厅1厨1卫,高楼层 (共18层),80.44,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,null,2023/4/24,商品房,2017/8/15,普通住宅,满五年,共有,无抵押,已上传房本照片,20230424arLvF
1550,江湾兰亭,硚口,155,14139,3室2厅1厨2卫,高楼层 (共31层),109.63,平层,86.25,板塔结合,南,钢混结构,精装,两梯四户,有,null,2022/5/27,商品房,2022/6/28,普通住宅,未满两年,非共有,有抵押 130万元,已上传房本照片,20220629qpbPP
1551,沿海翡丽公馆,东西湖,81,8993,3室2厅1厨1卫,高楼层 (共32层),90.08,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,null,2022/12/21,商品房,2022/12/21,普通住宅,未满两年,非共有,有抵押 31万元 农业 客户偿还,已上传房本照片,20221221fiHE8
1552,统建同安家园,江岸,205,16529,5室3厅1厨4卫,高楼层 (共6层),124.03,复式,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,null,2023/3/5,商品房,2016/7/27,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230305ZBM28
1553,万科圆方,江汉,89,18261,2室1厅1厨1卫,高楼层 (共20层),48.74,平层,35.31,板塔结合,东南,钢混结构,精装,两梯二十户,有,null,2023/3/11,商品房,2015/7/6,普通住宅,满五年,非共有,有抵押 71万元,已上传房本照片,202001029RvL1
1554,恒大绿洲,蔡甸,75,7908,3室2厅1厨1卫,低楼层 (共18层),94.85,平层,暂无数据,塔楼,北,钢混结构,精装,两梯四户,有,null,2020/12/14,商品房,2019/7/7,普通住宅,满两年,非共有,无抵押,已上传房本照片,20201228ontwX
1555,中森华国际城,江岸,136,16457,2室2厅1厨1卫,中楼层 (共27层),82.64,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,有,null,2023/4/17,商品房,2019/5/1,普通住宅,满两年,共有,有抵押 80万元 中信 客户偿还,已上传房本照片,20230417aPn54
1556,常青街扬子社区,江汉,115,12202,3室2厅1厨1卫,高楼层 (共7层),94.25,平层,81.9,板楼,南 北,钢混结构,简装,一梯六户,无,null,2023/4/26,商品房,2016/7/4,普通住宅,满五年,非共有,有抵押,已上传房本照片,20200117U7FgJ
1557,招商东城华府,江夏,167,15522,3室2厅1厨2卫,低楼层 (共34层),107.59,平层,86,板楼,南,钢混结构,精装,两梯四户,有,null,2023/3/22,商品房,2021/3/10,普通住宅,满两年,非共有,有抵押 90万元 中国银行 客户偿还,已上传房本照片,2023032351Kft
1558,仁义社区,江岸,230,34049,2室2厅1厨1卫,低楼层 (共6层),67.55,平层,暂无数据,暂无数据,南,未知结构,其他,一梯两户,有,null,2022/3/20,商品房,1996/3/22,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210724kSk0q
1559,金色雅园金源苑,江汉,185,18046,3室2厅1厨1卫,中楼层 (共7层),102.52,平层,暂无数据,板塔结合,南,混合结构,精装,一梯四户,无,null,2023/3/26,商品房,2017/7/11,普通住宅,满五年,非共有,无抵押,已上传房本照片,202303310w8To
1560,世茂锦绣长江五期,汉阳,271,25712,3室2厅1厨1卫,中楼层 (共53层),105.4,平层,83.36,板楼,东南,钢混结构,精装,三梯四户,有,null,2023/4/22,商品房,2020/12/25,普通住宅,满两年,共有,无抵押,已上传房本照片,20220621JZPYa
1561,绿景苑港东名居一期,洪山,102,13091,3室1厅1厨1卫,高楼层 (共21层),77.92,平层,暂无数据,板楼,南,钢混结构,精装,两梯六户,有,null,2023/4/19,拆迁还建房,2018/8/24,普通住宅,满两年,共有,无抵押,已上传房本照片,20230417BCWDH
1562,观澜御苑学苑,沌口,107,12305,3室2厅1厨1卫,低楼层 (共32层),86.96,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,null,2022/7/2,商品房,2019/5/31,普通住宅,满两年,共有,无抵押,已上传房本照片,20220703YRUWc
1563,花乐亿家,江夏,82,8226,3室2厅1厨1卫,中楼层 (共26层),99.69,平层,76,板塔结合,南,钢混结构,简装,四梯十三户,有,null,2023/3/12,商品房,2016/2/23,普通住宅,满五年,非共有,有抵押 30万元 工商银行 客户偿还,已上传房本照片,20220220Hi10p
1564,百步雅庭,江岸,159,17500,2室1厅1厨1卫,高楼层 (共18层),90.86,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯五户,有,null,2023/4/26,商品房,2021/4/23,普通住宅,满两年,共有,有抵押 106万元 工商银行,已上传房本照片,202205181UPRV
1565,汉口春天,硚口,142,15188,2室2厅1厨1卫,中楼层 (共6层),93.5,平层,81.48,板楼,南 北,钢混结构,精装,一梯两户,无,null,2021/5/19,商品房,2009/6/1,普通住宅,满五年,非共有,无抵押,已上传房本照片,20211016laWho
1566,中海澳门佳园,江岸,205,28532,2室1厅1厨1卫,中楼层 (共50层),71.85,平层,51.37,板楼,南,钢混结构,毛坯,三梯六户,有,null,2023/2/22,商品房,2021/3/15,普通住宅,满两年,非共有,有抵押 140万元 汉口银行 金融公司垫资,已上传房本照片,20210408pQ8Vc
1567,天顺园四村,硚口,115,10588,3室2厅1厨1卫,中楼层 (共6层),108.62,平层,暂无数据,板楼,南,钢混结构,其他,一梯两户,无,null,2023/4/6,经济适用房,2011/9/16,普通住宅,满五年,非共有,暂无数据,已上传房本照片,20220612B2HkJ
1568,水域天际,武昌,340,33091,3室1厅1厨1卫,高楼层 (共18层),102.75,平层,81.69,塔楼,南 北,钢混结构,简装,两梯四户,有,null,2023/3/12,商品房,2020/10/15,普通住宅,满两年,共有,无抵押,已上传房本照片,20230313OLoPa
1569,中国核建锦城,蔡甸,114,8768,3室2厅1厨2卫,高楼层 (共33层),130.6,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,null,2021/8/20,商品房,2021/5/1,普通住宅,满两年,共有,无抵押,已上传房本照片,20210820cgmcP
1570,华中电力梨园小区东区,洪山,180,19649,3室2厅1厨1卫,中楼层 (共8层),91.61,平层,暂无数据,塔楼,北 东 南,混合结构,简装,一梯四户,有,null,2022/6/14,房改房,2004/6/8,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220620iqK4W
1571,丰竹园,硚口,183,15055,3室2厅1厨2卫,低楼层 (共7层),121.56,错层,暂无数据,塔楼,东 西,钢混结构,简装,一梯两户,无,null,2021/3/12,商品房,2008/9/8,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210523WAjRE
1572,恒大绿洲,蔡甸,79,8759,3室2厅1厨1卫,高楼层 (共32层),91.23,平层,76.15,塔楼,北,钢混结构,精装,两梯四户,有,null,2023/2/8,商品房,2016/1/12,普通住宅,满五年,非共有,有抵押 25万元,已上传房本照片,20210327vhFBb
1573,紫晶城,江汉,190,22843,3室1厅1厨1卫,低楼层 (共32层),83.18,平层,62.45,塔楼,东南,钢混结构,其他,四梯二十户,有,null,2023/4/19,商品房,2015/12/22,普通住宅,满五年,非共有,有抵押,已上传房本照片,20201103RljE0
1574,纽宾凯汉city国际社区蜜城,汉阳,145,15785,3室2厅1厨1卫,高楼层 (共34层),91.86,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,null,2021/12/14,商品房,2018/7/20,普通住宅,满两年,非共有,有抵押 30万元 民生银行 客户偿还,已上传房本照片,20220109T0U77
1575,中海澳门佳园,江岸,205,29698,2室1厅1厨1卫,低楼层 (共47层),69.03,平层,50.8,板塔结合,南,钢混结构,精装,三梯六户,有,null,2023/2/8,商品房,2021/3/10,普通住宅,满两年,非共有,有抵押 90万元 农业银行 金融公司垫资,已上传房本照片,20230221Kfatb
1576,澜花语岸,洪山,42,10742,1室1厅1厨1卫,中楼层 (共11层),39.1,平层,28.3,板塔结合,北,钢混结构,简装,两梯二十户,有,null,2022/3/3,商品房,2017/7/10,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220304XDKtY
1577,秦园居名雅花苑,武昌,253,19936,3室2厅1厨2卫,中楼层 (共10层),126.91,平层,106.73,板塔结合,东南,钢混结构,其他,一梯三户,有,null,2022/4/3,商品房,2009/3/6,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210111w7Thy
1578,军威苑小区,洪山,87,11345,2室1厅1厨1卫,低楼层 (共17层),76.69,平层,暂无数据,板楼,南,钢混结构,精装,两梯六户,有,null,2021/3/24,商品房,2020/10/22,普通住宅,满两年,非共有,有抵押 50万元 客户偿还,已上传房本照片,20210407TPTZ7
1579,明泽丰华苑,洪山,137,12274,3室2厅1厨1卫,中楼层 (共28层),111.62,平层,88.34,塔楼,南 北,钢混结构,简装,两梯四户,有,null,2023/2/20,拆迁还建房,2022/12/6,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20230221RMcrT
